,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,47,48,49,52,53,54,55,56,58,59,60,70,72,75,82
PE,131.41,231.11,383.94,166.33,254.49,325.78,257.69,288.22,611.88,315.84,336.15,835.81,1076.81,579.31,932.71,319.29,800.83,997.27,753.52,733.6,799.38,647.26,811.23,1139.46,916.37,1231.95,1085.11,789.18,1556.68,2870.67,3151.98,1740.87,,1740.87,2370.54,1691.82,1116.34,1442.71,1737.16,,1742.81,1898.28,1152.78,,,1271.48,,,,,2334.06,,,,,
T,114.96,,387.45,152.88,420.33,387.82,242.97,520.12,301.46,443.2,648.22,565.23,730.81,826.15,947.43,804.99,847.31,886.64,1224.69,952.36,1737.84,908.44,1127.82,975.97,1147.05,1441.88,1695.19,1702.25,1087.65,1549.27,6905.97,1545.91,1454.89,3520.21,4014.01,,2790.08,3105.06,2268.91,1214.56,3722.87,,,2505,3078.81,,2826.11,2691.73,2408.25,2348.68,4141.4,3912.25,3737,3174.38,5705.06,8737.93
