,q,p,r,x,y,z
227,4,3,4,3,4,3
228,2,2,3,3,2,3
229,4,3,4,2,2,3
230,4,3,3,2,4,3
231,4,4,4,2,4,2
232,2,2,3,3,3,2
233,2,3,4,3,4,4
234,3,3,4,2,3,4
235,4,4,4,3,3,4
236,1,2,2,2,2,3
237,2,4,3,2,2,4
238,4,4,4,4,4,4
239,3,3,4,3,3,4
240,4,4,4,4,4,3
241,4,4,4,4,4,4
242,4,4,4,3,4,4
243,3,3,3,3,4,4
244,3,3,3,3,3,3
245,3,4,3,3,4,4
246,2,2,2,2,2,3
247,4,3,4,3,3,3
248,2,3,3,3,3,3
249,4,4,4,4,4,4
250,1,2,2,3,2,3
251,4,3,4,3,4,4
252,3,4,3,3,3,3
