,q,p,r,x,y,z
227,2,4,4,4,4,3
228,3,3,3,2,3,3
229,2,2,3,3,3,2
230,3,3,3,3,3,3
231,4,4,3,3,3,3
232,3,3,3,2,3,3
233,3,4,3,4,4,4
234,4,3,3,3,4,4
235,3,2,3,3,4,2
236,2,3,3,2,3,2
237,4,3,3,3,3,3
238,4,4,4,4,4,4
239,4,3,3,3,4,4
240,4,4,4,4,4,4
241,4,3,4,4,4,4
242,4,4,4,4,4,4
243,4,3,4,3,4,4
244,4,2,3,3,3,2
245,4,3,3,3,4,4
246,2,3,4,3,3,3
247,1,2,2,3,3,3
248,3,3,3,3,3,3
249,3,4,3,4,4,4
250,2,2,3,3,2,3
251,3,3,4,3,3,4
252,4,3,3,3,3,3
